Data;ID_Banco;ID_Categoria;Valor
13/06/2022;5;26;792,00
13/06/2022;5;14;792,00
14/06/2022;5;26;729,63
14/06/2022;5;14;729,63
31/07/2022;5;32;9187,20
31/07/2022;5;40;712,80
31/07/2022;5;25;9900,00
30/08/2022;5;26;891,00
30/08/2022;5;17;891,00
13/09/2022;5;14;1532,52
17/09/2022;5;32;2945,65
17/09/2022;5;44;3272,94
17/09/2022;5;44;17673,88
17/09/2022;5;40;2539,35
17/09/2022;5;25;35268,75
17/09/2022;5;32;2945,65
17/09/2022;5;32;2945,65
26/09/2022;5;32;2945,65
26/09/2022;5;32;2945,65
26/09/2022;5;32;2945,65
26/09/2022;5;34;4682,70
26/09/2022;5;44;3272,94
26/09/2022;5;32;4418,47
26/09/2022;5;32;13255,41
26/09/2022;5;40;2539,35
26/09/2022;5;25;35268,75
28/09/2022;5;26;323,93
02/10/2022;5;40;3164,83
02/10/2022;5;41;16872,67
02/10/2022;5;2;43956,00
03/10/2022;5;17;891,00
30/10/2022;5;17;891,00
30/10/2022;5;14;1532,52
31/10/2022;5;32;9567,16
31/10/2022;5;32;9567,16
01/11/2022;5;2;35046,00
07/11/2022;5;34;3260,57
07/11/2022;5;37;8910,00
09/11/2022;5;41;12599,04
09/11/2022;5;40;2523,31
10/11/2022;5;14;1455,30
22/11/2022;5;14;232,65
23/11/2022;5;14;519,75
24/11/2022;5;18;260,87
24/11/2022;5;18;2128,50
28/11/2022;5;14;467,13
28/11/2022;5;17;891,00
30/11/2022;5;2;87347,70
30/11/2022;5;32;22630,81
30/11/2022;5;32;22630,81
30/11/2022;5;32;7969,45
30/11/2022;5;32;7969,45
30/11/2022;5;32;665,28
30/11/2022;5;32;4656,96
30/11/2022;5;25;6652,80
30/11/2022;5;41;13182,30
30/11/2022;5;40;6289,02
01/12/2022;5;18;1039,50
05/12/2022;5;14;1089,00
11/12/2022;5;40;754,68
11/12/2022;5;34;2475,00
12/12/2022;5;41;144,74
12/12/2022;5;32;1731,51
12/12/2022;5;32;247,35
12/12/2022;5;40;203,15
12/12/2022;5;32;399,17
12/12/2022;5;32;2794,18
12/12/2022;5;40;760,32
12/12/2022;5;25;2821,50
12/12/2022;5;25;4752,00
19/12/2022;5;45;1757,25
19/12/2022;5;32;17848,46
19/12/2022;5;41;18900,14
19/12/2022;5;40;3984,21
19/12/2022;5;2;55336,05
28/12/2022;5;24;5614,54
28/12/2022;5;14;766,26
01/01/2023;4;23;0,00
02/01/2023;5;17;891,00
09/01/2023;5;32;8112,95
11/01/2023;5;2;59336,64
11/01/2023;5;10;101217,60
11/01/2023;5;34;2475,00
11/01/2023;5;40;4272,25
11/01/2023;5;41;22581,75
11/01/2023;5;40;7287,69
11/01/2023;5;41;3444,01
22/01/2023;5;32;5248,58
22/01/2023;5;32;36740,09
22/01/2023;5;40;3350,16
22/01/2023;5;25;55836,00
22/01/2023;5;16;19800,00
25/01/2023;5;54;2475,00
26/01/2023;5;18;2168,10
29/01/2023;5;32;26028,54
29/01/2023;5;32;26028,54
29/01/2023;5;32;12993,06
29/01/2023;5;32;12993,06
31/01/2023;2;23;24,75
31/01/2023;1;23;0,00
01/02/2023;5;10;7326,00
01/02/2023;5;10;7326,00
01/02/2023;5;14;766,26
01/02/2023;5;17;891,00
02/02/2023;5;10;8298,68
05/02/2023;5;10;7500,54
05/02/2023;5;38;663,15
06/02/2023;5;2;4896,64
07/02/2023;5;2;7500,54
08/02/2023;5;10;7905,15
08/02/2023;5;32;1944,56
10/02/2023;5;6;1754,63
10/02/2023;5;6;2065,14
10/02/2023;5;34;2475,00
10/02/2023;5;9;3164,24
10/02/2023;5;9;4477,23
19/02/2023;4;25;19008,15
19/02/2023;1;4;0,15
19/02/2023;1;4;0,99
19/02/2023;1;13;24750,00
19/02/2023;5;12;24750,00
21/02/2023;1;13;16830,00
21/02/2023;5;12;16830,00
23/02/2023;1;25;42614,75
23/02/2023;5;32;12474,10
23/02/2023;5;32;3564,84
24/02/2023;1;10;5343,28
26/02/2023;2;2;9306,00
26/02/2023;1;12;2583,21
26/02/2023;1;2;8375,40
26/02/2023;1;17;891,00
26/02/2023;5;13;2583,21
28/02/2023;5;32;10691,16
03/03/2023;2;10;5925,15
05/03/2023;1;10;5343,28
06/03/2023;1;12;10686,56
06/03/2023;4;10;5686,91
06/03/2023;1;38;514,80
06/03/2023;1;13;10686,56
07/03/2023;1;4;0,10
07/03/2023;1;2;7905,15
07/03/2023;1;1;17,33
07/03/2023;1;32;10694,57
08/03/2023;4;12;9900,00
08/03/2023;1;2;7900,20
08/03/2023;1;32;5346,84
08/03/2023;1;13;9900,00
09/03/2023;1;34;2475,00
12/03/2023;1;4;0,94
12/03/2023;1;32;11322,98
12/03/2023;1;32;11322,98
13/03/2023;2;2;3960,00
13/03/2023;2;2;3960,00
13/03/2023;4;2;3800,16
13/03/2023;1;4;0,40
13/03/2023;1;32;9900,00
14/03/2023;1;2;7754,32
14/03/2023;1;2;8393,81
14/03/2023;1;4;0,35
14/03/2023;1;37;8415,00
16/03/2023;1;4;0,15
16/03/2023;1;37;3088,80
19/03/2023;1;12;16148,14
19/03/2023;1;2;3212,85
19/03/2023;1;32;12239,67
19/03/2023;1;13;16148,14
20/03/2023;4;2;3800,16
20/03/2023;1;4;0,54
20/03/2023;1;28;9053,55
21/03/2023;1;4;0,20
21/03/2023;1;32;3112,66
